"orig_name","canonical_name","corporation_name","beneficiary","city","state","price_mean","bidder_num","auction","institutional"
"Henry Toland","Henry Toland ",,"","","",103.1,1,"1843-04-02; Loan of 1843",FALSE
"Philadelphia Savings Fund Society",,"Philadelphia Savings Fund Society","","","",102.375,2,"1843-04-02; Loan of 1843",TRUE
"Pennsylvania Company for Insurance on Lives and Granting Annuities",,"Pennsylvania Company","Insurance on Lives and Granting Annuities","","",101.55,3,"1843-04-02; Loan of 1843",TRUE
"Bank of Potomac",,"Bank of Potomac","","","",101,4,"1843-04-02; Loan of 1843",TRUE
"Charles Davies, Treasurer Military Academy, West Point","Charles Davies ",,"","","",101,5,"1843-04-02; Loan of 1843",FALSE
"Daniel Parker","Daniel Parker ",,"","","",101,6,"1843-04-02; Loan of 1843",FALSE
"George Curtis","George Curtis ",,"","","",101,7,"1843-04-02; Loan of 1843",FALSE
"J. G. Fendi ","J G Fendi ",,"","","",101,8,"1843-04-02; Loan of 1843",FALSE
"John A. Stevens ","John A Stevens ",,"","","",101,9,"1843-04-02; Loan of 1843",FALSE
"John Ward & Co.",,"John Ward & Co","","","",101,10,"1843-04-02; Loan of 1843",TRUE
"Patapsco Bank",,"Patapsco Bank","","","",101,11,"1843-04-02; Loan of 1843",TRUE
"Piscataqua Bank",,"Piscataqua Bank","","","",101,12,"1843-04-02; Loan of 1843",TRUE
"Secretary of War, in trust for Indian tribes",,"Secretary of War","In trust for Indian tribes","","",101,13,"1843-04-02; Loan of 1843",TRUE
"Southwark Bank",,"Southwark Bank","","","",101,14,"1843-04-02; Loan of 1843",TRUE
"Franklin Haven","Franklin Haven ",,"","","",100.9,15,"1843-04-02; Loan of 1843",FALSE
"Bank of Baltimore ",,"Bank of Baltimore","","","",100.75,16,"1843-04-02; Loan of 1843",TRUE
"Horace Binney ","Horace Binney ",,"","","",100.75,17,"1843-04-02; Loan of 1843",FALSE
"J. G. Thayer & Brother",,"J G Thayer & Brother","","","",100.75,18,"1843-04-02; Loan of 1843",TRUE
"Corcoran & Riggs",,"Corcoran & Riggs","","","",100.1120689655,19,"1843-04-02; Loan of 1843",TRUE
"Bank of Charleston, S. C.",,"Bank of Charleston, S C","","","",100,20,"1843-04-02; Loan of 1843",TRUE
"Bank of the Metropolis",,"Bank of the Metropolis","","","",100,21,"1843-04-02; Loan of 1843",TRUE
"Bernard W. Campbell","Bernard W Campbell ",,"","","",100,22,"1843-04-02; Loan of 1843",FALSE
"Bowery Savings Bank ",,"Bowery Savings Bank","","","",100,23,"1843-04-02; Loan of 1843",TRUE
"James Camak","James Camak ",,"","","",100,24,"1843-04-02; Loan of 1843",FALSE
"John J. Swift","John J Swift ",,"","","",100,25,"1843-04-02; Loan of 1843",FALSE
